image_path,cluster_id,emotion
final_dataset\angry_1168.jpg,5,Sad
final_dataset\angry_1174.jpg,2,Neutral
final_dataset\angry_1171.jpg,0,Surprised
final_dataset\angry_1177.jpg,4,Calm
final_dataset\angry_1176.jpg,4,Calm
final_dataset\angry_1178.jpg,1,Stressed
final_dataset\angry_1172.jpg,1,Stressed
final_dataset\angry_1173.jpg,2,Neutral
final_dataset\angry_1179.jpg,2,Neutral
final_dataset\angry_1180.jpg,1,Stressed
final_dataset\angry_1181.jpg,2,Neutral
final_dataset\angry_1184.jpg,4,Calm
final_dataset\angry_1175.jpg,0,Surprised
final_dataset\angry_1185.jpg,4,Calm
final_dataset\angry_118.jpg,1,Stressed
final_dataset\angry_1182.jpg,5,Sad
final_dataset\angry_1186.jpg,4,Calm
final_dataset\angry_119.jpg,1,Stressed
final_dataset\angry_1183.jpg,1,Stressed
final_dataset\angry_1187.jpg,2,Neutral
final_dataset\angry_1188.jpg,1,Stressed
final_dataset\angry_1189.jpg,0,Surprised
final_dataset\angry_1193.jpg,0,Surprised
final_dataset\angry_1190.jpg,4,Calm
final_dataset\angry_1198.jpg,2,Neutral
final_dataset\angry_1192.jpg,0,Surprised
final_dataset\angry_1191.jpg,4,Calm
final_dataset\angry_1195.jpg,1,Stressed
final_dataset\angry_1197.jpg,2,Neutral
final_dataset\angry_1194.jpg,2,Neutral
final_dataset\angry_1196.jpg,1,Stressed
final_dataset\angry_12.jpg,4,Calm
final_dataset\angry_1199.jpg,1,Stressed
final_dataset\angry_1200.jpg,0,Surprised
final_dataset\angry_1206.jpg,2,Neutral
final_dataset\angry_120.jpg,3,Angry
final_dataset\angry_1201.jpg,3,Angry
final_dataset\angry_1202.jpg,3,Angry
final_dataset\angry_1203.jpg,0,Surprised
final_dataset\angry_1204.jpg,2,Neutral
final_dataset\angry_1205.jpg,4,Calm
final_dataset\angry_1209.jpg,4,Calm
final_dataset\angry_1207.jpg,1,Stressed
final_dataset\angry_1208.jpg,3,Angry
final_dataset\angry_1213.jpg,5,Sad
final_dataset\angry_121.jpg,0,Surprised
final_dataset\angry_1210.jpg,0,Surprised
final_dataset\angry_1211.jpg,4,Calm
final_dataset\angry_1217.jpg,1,Stressed
final_dataset\angry_1214.jpg,1,Stressed
final_dataset\angry_1212.jpg,1,Stressed
final_dataset\angry_1215.jpg,4,Calm
final_dataset\angry_1216.jpg,4,Calm
final_dataset\angry_1220.jpg,0,Surprised
final_dataset\angry_1218.jpg,1,Stressed
final_dataset\angry_1221.jpg,2,Neutral
final_dataset\angry_1223.jpg,2,Neutral
final_dataset\angry_1219.jpg,2,Neutral
final_dataset\angry_122.jpg,0,Surprised
final_dataset\angry_1222.jpg,1,Stressed
final_dataset\angry_1225.jpg,0,Surprised
final_dataset\angry_1226.jpg,0,Surprised
final_dataset\angry_1224.jpg,3,Angry
final_dataset\angry_1233.jpg,1,Stressed
final_dataset\angry_123.jpg,0,Surprised
final_dataset\angry_1228.jpg,0,Surprised
final_dataset\angry_1229.jpg,4,Calm
final_dataset\angry_1227.jpg,4,Calm
final_dataset\angry_1230.jpg,0,Surprised
final_dataset\angry_1231.jpg,4,Calm
final_dataset\angry_1236.jpg,2,Neutral
final_dataset\angry_1232.jpg,0,Surprised
final_dataset\angry_1234.jpg,6,Happy
final_dataset\angry_1240.jpg,0,Surprised
final_dataset\angry_1238.jpg,4,Calm
final_dataset\angry_1235.jpg,4,Calm
final_dataset\angry_1237.jpg,1,Stressed
final_dataset\angry_1239.jpg,1,Stressed
final_dataset\angry_124.jpg,2,Neutral
final_dataset\angry_1241.jpg,4,Calm
final_dataset\angry_1242.jpg,4,Calm
final_dataset\angry_125.jpg,4,Calm
final_dataset\angry_1245.jpg,4,Calm
final_dataset\angry_1243.jpg,0,Surprised
final_dataset\angry_1246.jpg,4,Calm
final_dataset\angry_1247.jpg,5,Sad
final_dataset\angry_1244.jpg,0,Surprised
final_dataset\angry_1248.jpg,0,Surprised
final_dataset\angry_1252.jpg,0,Surprised
final_dataset\angry_1251.jpg,2,Neutral
final_dataset\angry_1249.jpg,2,Neutral
final_dataset\angry_1250.jpg,1,Stressed
final_dataset\angry_1258.jpg,0,Surprised
final_dataset\angry_1253.jpg,6,Happy
final_dataset\angry_1255.jpg,2,Neutral
final_dataset\angry_1254.jpg,6,Happy
final_dataset\angry_126.jpg,5,Sad
final_dataset\angry_1256.jpg,0,Surprised
final_dataset\angry_1257.jpg,2,Neutral
final_dataset\angry_1259.jpg,4,Calm
final_dataset\angry_1263.jpg,0,Surprised
final_dataset\angry_1260.jpg,2,Neutral
final_dataset\angry_1261.jpg,0,Surprised
final_dataset\angry_1265.jpg,4,Calm
final_dataset\angry_1262.jpg,1,Stressed
final_dataset\angry_1264.jpg,1,Stressed
final_dataset\angry_1266.jpg,1,Stressed
final_dataset\angry_1271.jpg,6,Happy
final_dataset\angry_1267.jpg,3,Angry
final_dataset\angry_1268.jpg,3,Angry
final_dataset\angry_1269.jpg,1,Stressed
final_dataset\angry_127.jpg,3,Angry
final_dataset\angry_1270.jpg,4,Calm
final_dataset\angry_1272.jpg,2,Neutral
final_dataset\angry_1273.jpg,0,Surprised
final_dataset\angry_1277.jpg,2,Neutral
final_dataset\angry_1276.jpg,4,Calm
final_dataset\angry_1279.jpg,2,Neutral
final_dataset\angry_1274.jpg,4,Calm
final_dataset\angry_1275.jpg,2,Neutral
final_dataset\angry_1278.jpg,0,Surprised
final_dataset\angry_1283.jpg,2,Neutral
final_dataset\angry_128.jpg,1,Stressed
final_dataset\angry_1280.jpg,0,Surprised
final_dataset\angry_1281.jpg,4,Calm
final_dataset\angry_1286.jpg,0,Surprised
final_dataset\angry_1282.jpg,0,Surprised
final_dataset\angry_1285.jpg,2,Neutral
final_dataset\angry_1284.jpg,2,Neutral
final_dataset\angry_1287.jpg,0,Surprised
final_dataset\angry_1288.jpg,1,Stressed
final_dataset\angry_1292.jpg,1,Stressed
final_dataset\angry_129.jpg,2,Neutral
final_dataset\angry_1289.jpg,1,Stressed
final_dataset\angry_1290.jpg,2,Neutral
final_dataset\angry_1295.jpg,2,Neutral
final_dataset\angry_1291.jpg,0,Surprised
final_dataset\angry_1297.jpg,2,Neutral
final_dataset\angry_1296.jpg,2,Neutral
final_dataset\angry_1293.jpg,1,Stressed
final_dataset\angry_1294.jpg,0,Surprised
final_dataset\angry_1301.jpg,4,Calm
final_dataset\angry_1299.jpg,1,Stressed
final_dataset\angry_1298.jpg,0,Surprised
final_dataset\angry_1303.jpg,0,Surprised
final_dataset\angry_13.jpg,4,Calm
final_dataset\angry_1304.jpg,4,Calm
final_dataset\angry_130.jpg,1,Stressed
final_dataset\angry_1305.jpg,4,Calm
final_dataset\angry_1306.jpg,2,Neutral
final_dataset\angry_1302.jpg,4,Calm
final_dataset\angry_1309.jpg,1,Stressed
final_dataset\angry_1300.jpg,4,Calm
final_dataset\angry_1312.jpg,1,Stressed
final_dataset\angry_1310.jpg,2,Neutral
final_dataset\angry_1307.jpg,2,Neutral
final_dataset\angry_1308.jpg,4,Calm
final_dataset\angry_131.jpg,5,Sad
final_dataset\angry_1315.jpg,3,Angry
final_dataset\angry_1311.jpg,2,Neutral
final_dataset\angry_1314.jpg,4,Calm
final_dataset\angry_1316.jpg,4,Calm
final_dataset\angry_1313.jpg,4,Calm
final_dataset\angry_1320.jpg,3,Angry
final_dataset\angry_1317.jpg,2,Neutral
final_dataset\angry_1321.jpg,0,Surprised
final_dataset\angry_1322.jpg,3,Angry
final_dataset\angry_1323.jpg,3,Angry
final_dataset\angry_1318.jpg,0,Surprised
final_dataset\angry_1319.jpg,2,Neutral
final_dataset\angry_132.jpg,0,Surprised
final_dataset\angry_1328.jpg,1,Stressed
final_dataset\angry_1324.jpg,4,Calm
final_dataset\angry_1325.jpg,1,Stressed
final_dataset\angry_1326.jpg,2,Neutral
final_dataset\angry_1330.jpg,4,Calm
final_dataset\angry_1327.jpg,0,Surprised
final_dataset\angry_1334.jpg,4,Calm
final_dataset\angry_1329.jpg,4,Calm
final_dataset\angry_133.jpg,4,Calm
final_dataset\angry_1331.jpg,4,Calm
final_dataset\angry_1336.jpg,6,Happy
final_dataset\angry_1335.jpg,2,Neutral
final_dataset\angry_1332.jpg,2,Neutral
final_dataset\angry_1338.jpg,4,Calm
final_dataset\angry_1333.jpg,4,Calm
final_dataset\angry_1339.jpg,3,Angry
final_dataset\angry_1337.jpg,0,Surprised
final_dataset\angry_1343.jpg,2,Neutral
final_dataset\angry_1340.jpg,4,Calm
final_dataset\angry_134.jpg,2,Neutral
final_dataset\angry_1347.jpg,2,Neutral
final_dataset\angry_1344.jpg,1,Stressed
final_dataset\angry_1341.jpg,2,Neutral
final_dataset\angry_1342.jpg,4,Calm
final_dataset\angry_1345.jpg,6,Happy
final_dataset\angry_1346.jpg,2,Neutral
final_dataset\angry_1348.jpg,0,Surprised
final_dataset\angry_1350.jpg,4,Calm
final_dataset\angry_1349.jpg,4,Calm
final_dataset\angry_135.jpg,2,Neutral
final_dataset\angry_1353.jpg,4,Calm
final_dataset\angry_1352.jpg,1,Stressed
final_dataset\angry_1351.jpg,0,Surprised
final_dataset\angry_1357.jpg,1,Stressed
final_dataset\angry_1355.jpg,4,Calm
final_dataset\angry_1354.jpg,2,Neutral
final_dataset\angry_136.jpg,0,Surprised
final_dataset\angry_1358.jpg,3,Angry
final_dataset\angry_1356.jpg,2,Neutral
final_dataset\angry_1362.jpg,4,Calm
final_dataset\angry_1359.jpg,2,Neutral
final_dataset\angry_1360.jpg,1,Stressed
final_dataset\angry_1363.jpg,4,Calm
final_dataset\angry_1361.jpg,1,Stressed
final_dataset\angry_1366.jpg,0,Surprised
final_dataset\angry_1364.jpg,1,Stressed
final_dataset\angry_1365.jpg,2,Neutral
final_dataset\angry_1368.jpg,1,Stressed
final_dataset\angry_1367.jpg,4,Calm
final_dataset\angry_1372.jpg,4,Calm
final_dataset\angry_1373.jpg,2,Neutral
final_dataset\angry_1371.jpg,4,Calm
final_dataset\angry_1370.jpg,1,Stressed
final_dataset\angry_1377.jpg,4,Calm
final_dataset\angry_137.jpg,2,Neutral
final_dataset\angry_1369.jpg,4,Calm
final_dataset\angry_1378.jpg,1,Stressed
final_dataset\angry_138.jpg,1,Stressed
final_dataset\angry_1374.jpg,2,Neutral
final_dataset\angry_1375.jpg,1,Stressed
final_dataset\angry_1382.jpg,2,Neutral
final_dataset\angry_1376.jpg,4,Calm
final_dataset\angry_1383.jpg,0,Surprised
final_dataset\angry_1379.jpg,0,Surprised
final_dataset\angry_1380.jpg,1,Stressed
final_dataset\angry_1381.jpg,2,Neutral
final_dataset\angry_1388.jpg,0,Surprised
final_dataset\angry_1384.jpg,0,Surprised
final_dataset\angry_1385.jpg,1,Stressed
final_dataset\angry_1386.jpg,0,Surprised
final_dataset\angry_1387.jpg,0,Surprised
final_dataset\angry_139.jpg,2,Neutral
final_dataset\angry_1389.jpg,4,Calm
final_dataset\angry_1390.jpg,0,Surprised
final_dataset\angry_1394.jpg,4,Calm
final_dataset\angry_1391.jpg,1,Stressed
final_dataset\angry_1392.jpg,4,Calm
final_dataset\angry_1397.jpg,2,Neutral
final_dataset\angry_1393.jpg,0,Surprised
final_dataset\angry_1395.jpg,4,Calm
final_dataset\angry_1396.jpg,1,Stressed
final_dataset\angry_1398.jpg,3,Angry
final_dataset\angry_140.jpg,2,Neutral
final_dataset\angry_1404.jpg,4,Calm
final_dataset\angry_1399.jpg,0,Surprised
final_dataset\angry_14.jpg,4,Calm
final_dataset\angry_1405.jpg,2,Neutral
final_dataset\angry_1407.jpg,3,Angry
final_dataset\angry_1402.jpg,1,Stressed
final_dataset\angry_1401.jpg,1,Stressed
final_dataset\angry_1403.jpg,3,Angry
final_dataset\angry_1400.jpg,2,Neutral
final_dataset\angry_1408.jpg,0,Surprised
final_dataset\angry_1406.jpg,2,Neutral
final_dataset\angry_141.jpg,0,Surprised
final_dataset\angry_1409.jpg,0,Surprised
final_dataset\angry_1412.jpg,2,Neutral
final_dataset\angry_1410.jpg,0,Surprised
final_dataset\angry_1411.jpg,4,Calm
final_dataset\angry_1416.jpg,1,Stressed
final_dataset\angry_1413.jpg,1,Stressed
final_dataset\angry_1414.jpg,0,Surprised
final_dataset\angry_142.jpg,5,Sad
final_dataset\angry_1419.jpg,3,Angry
final_dataset\angry_1415.jpg,2,Neutral
final_dataset\angry_1417.jpg,1,Stressed
final_dataset\angry_1421.jpg,6,Happy
final_dataset\angry_1418.jpg,5,Sad
final_dataset\angry_1420.jpg,5,Sad
final_dataset\angry_1422.jpg,2,Neutral
final_dataset\angry_1425.jpg,0,Surprised
final_dataset\angry_1424.jpg,0,Surprised
final_dataset\angry_1423.jpg,2,Neutral
final_dataset\angry_1429.jpg,4,Calm
final_dataset\angry_1426.jpg,4,Calm
final_dataset\angry_1427.jpg,2,Neutral
final_dataset\angry_1428.jpg,4,Calm
final_dataset\angry_143.jpg,2,Neutral
final_dataset\angry_1430.jpg,4,Calm
final_dataset\angry_1434.jpg,4,Calm
final_dataset\angry_1431.jpg,3,Angry
final_dataset\angry_1432.jpg,0,Surprised
final_dataset\angry_1433.jpg,2,Neutral
final_dataset\angry_1435.jpg,0,Surprised
final_dataset\angry_1436.jpg,1,Stressed
final_dataset\angry_1437.jpg,1,Stressed
final_dataset\angry_1440.jpg,1,Stressed
final_dataset\angry_1438.jpg,0,Surprised
final_dataset\angry_144.jpg,1,Stressed
final_dataset\angry_1441.jpg,2,Neutral
final_dataset\angry_1439.jpg,0,Surprised
final_dataset\angry_1442.jpg,6,Happy
final_dataset\angry_1446.jpg,6,Happy
final_dataset\angry_1443.jpg,2,Neutral
final_dataset\angry_1449.jpg,4,Calm
final_dataset\angry_1444.jpg,4,Calm
final_dataset\angry_1445.jpg,1,Stressed
final_dataset\angry_1453.jpg,4,Calm
final_dataset\angry_1451.jpg,3,Angry
final_dataset\angry_1448.jpg,4,Calm
final_dataset\angry_1447.jpg,4,Calm
final_dataset\angry_1452.jpg,6,Happy
final_dataset\angry_145.jpg,4,Calm
final_dataset\angry_1450.jpg,3,Angry
final_dataset\angry_1460.jpg,1,Stressed
final_dataset\angry_1455.jpg,3,Angry
final_dataset\angry_1454.jpg,4,Calm
final_dataset\angry_1456.jpg,0,Surprised
final_dataset\angry_1457.jpg,4,Calm
final_dataset\angry_1459.jpg,2,Neutral
final_dataset\angry_1461.jpg,3,Angry
final_dataset\angry_1458.jpg,1,Stressed
final_dataset\angry_146.jpg,0,Surprised
final_dataset\angry_1466.jpg,4,Calm
final_dataset\angry_1464.jpg,4,Calm
final_dataset\angry_1462.jpg,2,Neutral
final_dataset\angry_1463.jpg,3,Angry
final_dataset\angry_147.jpg,0,Surprised
final_dataset\angry_1465.jpg,0,Surprised
final_dataset\angry_1467.jpg,4,Calm
final_dataset\angry_1469.jpg,0,Surprised
final_dataset\angry_1468.jpg,0,Surprised
final_dataset\angry_1470.jpg,3,Angry
final_dataset\angry_1473.jpg,2,Neutral
final_dataset\angry_1479.jpg,4,Calm
final_dataset\angry_1471.jpg,4,Calm
final_dataset\angry_1474.jpg,4,Calm
final_dataset\angry_1477.jpg,1,Stressed
final_dataset\angry_1472.jpg,0,Surprised
final_dataset\angry_1475.jpg,1,Stressed
final_dataset\angry_1476.jpg,4,Calm
final_dataset\angry_1478.jpg,0,Surprised
final_dataset\angry_148.jpg,4,Calm
final_dataset\angry_1484.jpg,4,Calm
final_dataset\angry_1483.jpg,4,Calm
final_dataset\angry_1482.jpg,0,Surprised
final_dataset\angry_1480.jpg,4,Calm
final_dataset\angry_1481.jpg,0,Surprised
final_dataset\angry_1488.jpg,2,Neutral
final_dataset\angry_1489.jpg,3,Angry
final_dataset\angry_1490.jpg,1,Stressed
final_dataset\angry_149.jpg,1,Stressed
final_dataset\angry_1486.jpg,2,Neutral
final_dataset\angry_1493.jpg,2,Neutral
final_dataset\angry_1485.jpg,6,Happy
final_dataset\angry_1487.jpg,1,Stressed
final_dataset\angry_1494.jpg,4,Calm
final_dataset\angry_1497.jpg,4,Calm
final_dataset\angry_1492.jpg,4,Calm
final_dataset\angry_1495.jpg,5,Sad
final_dataset\angry_1499.jpg,2,Neutral
final_dataset\angry_1491.jpg,0,Surprised
final_dataset\angry_1502.jpg,2,Neutral
final_dataset\angry_1496.jpg,2,Neutral
final_dataset\angry_1498.jpg,6,Happy
final_dataset\angry_15.jpg,3,Angry
final_dataset\angry_150.jpg,3,Angry
final_dataset\angry_1501.jpg,4,Calm
final_dataset\angry_1500.jpg,2,Neutral
final_dataset\angry_1504.jpg,2,Neutral
final_dataset\angry_1503.jpg,0,Surprised
final_dataset\angry_1508.jpg,2,Neutral
final_dataset\angry_1505.jpg,0,Surprised
final_dataset\angry_1512.jpg,0,Surprised
final_dataset\angry_1511.jpg,1,Stressed
final_dataset\angry_1506.jpg,4,Calm
final_dataset\angry_151.jpg,4,Calm
final_dataset\angry_1514.jpg,4,Calm
final_dataset\angry_1507.jpg,2,Neutral
final_dataset\angry_1509.jpg,1,Stressed
final_dataset\angry_1510.jpg,1,Stressed
final_dataset\angry_1516.jpg,2,Neutral
final_dataset\angry_1513.jpg,2,Neutral
final_dataset\angry_1517.jpg,2,Neutral
final_dataset\angry_1515.jpg,4,Calm
final_dataset\angry_1519.jpg,1,Stressed
final_dataset\angry_1518.jpg,4,Calm
final_dataset\angry_1521.jpg,1,Stressed
final_dataset\angry_1523.jpg,4,Calm
final_dataset\angry_1522.jpg,6,Happy
final_dataset\angry_152.jpg,1,Stressed
final_dataset\angry_1520.jpg,2,Neutral
final_dataset\angry_1524.jpg,2,Neutral
final_dataset\angry_1526.jpg,4,Calm
final_dataset\angry_1527.jpg,4,Calm
final_dataset\angry_1525.jpg,2,Neutral
final_dataset\angry_1530.jpg,1,Stressed
final_dataset\angry_1529.jpg,2,Neutral
final_dataset\angry_1528.jpg,6,Happy
final_dataset\angry_1532.jpg,2,Neutral
final_dataset\angry_1533.jpg,1,Stressed
final_dataset\angry_153.jpg,1,Stressed
final_dataset\angry_1531.jpg,0,Surprised
final_dataset\angry_1536.jpg,2,Neutral
final_dataset\angry_1537.jpg,4,Calm
final_dataset\angry_1535.jpg,4,Calm
final_dataset\angry_1538.jpg,0,Surprised
final_dataset\angry_1534.jpg,1,Stressed
final_dataset\angry_1541.jpg,1,Stressed
final_dataset\angry_154.jpg,2,Neutral
final_dataset\angry_1539.jpg,0,Surprised
final_dataset\angry_1545.jpg,2,Neutral
final_dataset\angry_1544.jpg,4,Calm
final_dataset\angry_1540.jpg,4,Calm
final_dataset\angry_1543.jpg,3,Angry
final_dataset\angry_1546.jpg,4,Calm
final_dataset\angry_1548.jpg,0,Surprised
final_dataset\angry_1549.jpg,2,Neutral
final_dataset\angry_1550.jpg,4,Calm
final_dataset\angry_1553.jpg,5,Sad
final_dataset\angry_1547.jpg,0,Surprised
final_dataset\angry_1551.jpg,2,Neutral
final_dataset\angry_1552.jpg,4,Calm
final_dataset\angry_155.jpg,5,Sad
final_dataset\angry_1554.jpg,3,Angry
final_dataset\angry_1556.jpg,4,Calm
final_dataset\angry_1557.jpg,3,Angry
final_dataset\angry_1558.jpg,3,Angry
